"","wl","temperature","value","hexvis"
"1",200,"1500",1.14476520887937e-13,"#4A1700"
"2",201,"1500",1.41761327697098e-13,"#4A1700"
"3",202,"1500",1.75156564569512e-13,"#4A1700"
"4",203,"1500",2.15941940681738e-13,"#4A1700"
"5",204,"1500",2.65646357517487e-13,"#4A1700"
"6",205,"1500",3.26092702956409e-13,"#4A1700"
"7",206,"1500",3.99450010187813e-13,"#4A1700"
"8",207,"1500",4.88294075428682e-13,"#4A1700"
"9",208,"1500",5.95677772710666e-13,"#4A1700"
"10",209,"1500",7.25212464741665e-13,"#4A1700"
"11",210,"1500",8.81162087595683e-13,"#4A1700"
"12",211,"1500",1.06855168539994e-12,"#4A1700"
"13",212,"1500",1.29329239104535e-12,"#4A1700"
"14",213,"1500",1.56232509213787e-12,"#4A1700"
"15",214,"1500",1.8837852899476e-12,"#4A1700"
"16",215,"1500",2.26719195513898e-12,"#4A1700"
"17",216,"1500",2.72366350984685e-12,"#4A1700"
"18",217,"1500",3.26616442359849e-12,"#4A1700"
"19",218,"1500",3.90978630320385e-12,"#4A1700"
"20",219,"1500",4.67206778671586e-12,"#4A1700"
"21",220,"1500",5.57335802170584e-12,"#4A1700"
"22",221,"1500",6.63722902135507e-12,"#4A1700"
"23",222,"1500",7.89094275131857e-12,"#4A1700"
"24",223,"1500",9.36597940920158e-12,"#4A1700"
"25",224,"1500",1.10986340201707e-11,"#4A1700"
"26",225,"1500",1.31306891902086e-11,"#4A1700"
"27",226,"1500",1.55101726364673e-11,"#4A1700"
"28",227,"1500",1.82922089558505e-11,"#4A1700"
"29",228,"1500",2.15399760022952e-11,"#4A1700"
"30",229,"1500",2.53257772242562e-11,"#4A1700"
"31",230,"1500",2.97322423708117e-11,"#4A1700"
"32",231,"1500",3.48536701118846e-11,"#4A1700"
"33",232,"1500",4.07975273397301e-11,"#4A1700"
"34",233,"1500",4.76861212295857e-11,"#4A1700"
"35",234,"1500",5.56584615418458e-11,"#4A1700"
"36",235,"1500",6.48723321509739e-11,"#4A1700"
"37",236,"1500",7.55065923924879e-11,"#4A1700"
"38",237,"1500",8.77637305334921e-11,"#4A1700"
"39",238,"1500",1.01872693499427e-10,"#4A1700"
"40",239,"1500",1.1809201893486e-10,"#4A1700"
"41",240,"1500",1.36713297744348e-10,"#4A1700"
"42",241,"1500",1.58064997455614e-10,"#4A1700"
"43",242,"1500",1.82516679076689e-10,"#4A1700"
"44",243,"1500",2.10483642586159e-10,"#4A1700"
"45",244,"1500",2.42432038806468e-10,"#4A1700"
"46",245,"1500",2.78884488169192e-10,"#4A1700"
"47",246,"1500",3.20426249793392e-10,"#4A1700"
"48",247,"1500",3.6771198736836e-10,"#4A1700"
"49",248,"1500",4.21473181565271e-10,"#4A1700"
"50",249,"1500",4.82526242102925e-10,"#4A1700"
